country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greece,0.45,0.494,0.5,0.5,0.5,0.5,0.537,0.565,0.6,0.6,0.59,0.59,0.59,0.59,0.623,0.647,0.647,0.647,0.644,0.644,0.644,0.644,0.672,0.672,0.672,0.696,0.729,0.729,0.729,0.724,0.724,0.69,0.694,0.694,0.735,0.735,0.74,0.69,0.718,0.718,0.737,0.737,0.752,0.785
Guatemala,0.185,0.185,0.185,0.178,0.178,0.178,0.178,0.209,0.218,0.235,0.311,0.325,0.325,0.325,0.325,0.359,0.359,0.359,0.359,0.379,0.391,0.495,0.495,0.495,0.507,0.51,0.51,0.51,0.51,0.513,0.513,0.513,0.529,0.529,0.529,0.529,0.533,0.533,0.574,0.574,0.558,0.558,0.563,0.552
Guinea,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.382,0.4,0.419,0.419,0.397,0.397,0.397,0.405,0.405,0.405,0.405,0.432,0.432,0.432,0.432,0.432,0.432,0.432,0.414,0.435,0.437,0.437,0.402,0.402,0.396,0.396,0.396,0.432
Guinea-Bissau,0.358,0.37,0.37,0.37,0.37,0.388,0.388,0.388,0.388,0.39,0.39,0.39,0.39,0.39,0.395,0.395,0.395,0.395,0.421,0.457,0.457,0.457,0.457,0.457,0.439,0.438,0.438,0.44,0.45,0.471,0.456,0.456,0.456,0.458,0.461,0.461,0.461,0.471,0.492,0.495,0.495,0.495,0.481,0.51
Haiti,0.276,0.276,0.276,0.276,0.285,0.285,0.291,0.291,0.307,0.319,0.319,0.299,0.345,0.361,0.361,0.452,0.456,0.463,0.463,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.456,0.456,0.46,0.466,0.466,0.466,0.49,0.462,0.462,0.402,0.402,0.398,0.398,0.398,0.406
Honduras,0.257,0.257,0.257,0.257,0.257,0.257,0.281,0.326,0.326,0.333,0.329,0.329,0.329,0.331,0.338,0.408,0.419,0.446,0.43,0.434,0.458,0.458,0.466,0.47,0.47,0.47,0.457,0.459,0.459,0.459,0.56,0.594,0.599,0.599,0.527,0.543,0.572,0.572,0.564,0.566,0.566,0.566,0.571,0.567
Hungary,0.497,0.497,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.499,0.499,0.499,0.499,0.558,0.646,0.646,0.646,0.646,0.659,0.659,0.663,0.644,0.633,0.633,0.633,0.633,0.667,0.673,0.671,0.671,0.663,0.665,0.665,0.665,0.612,0.612,0.612,0.67,0.699,0.673,0.701,0.701,0.578
India,0.385,0.385,0.4,0.4,0.4,0.432,0.432,0.442,0.447,0.509,0.509,0.509,0.509,0.509,0.429,0.429,0.49,0.501,0.501,0.523,0.535,0.475,0.475,0.518,0.543,0.543,0.546,0.532,0.532,0.512,0.512,0.512,0.518,0.518,0.553,0.521,0.523,0.504,0.497,0.491,0.504,0.504,0.498,0.517
Indonesia,0.283,0.283,0.317,0.317,0.317,0.317,0.317,0.3,0.3,0.303,0.303,0.303,0.347,0.347,0.347,0.347,0.347,0.347,0.35,0.35,0.35,0.35,0.359,0.46,0.506,0.513,0.513,0.544,0.544,0.594,0.539,0.539,0.539,0.539,0.52,0.545,0.545,0.548,0.514,0.514,0.533,0.533,0.53,0.524
Iran,0.257,0.257,0.257,0.257,0.197,0.152,0.152,0.157,0.157,0.182,0.157,0.157,0.157,0.191,0.184,0.184,0.184,0.217,0.184,0.187,0.187,0.23,0.282,0.304,0.304,0.337,0.299,0.299,0.302,0.302,0.291,0.279,0.279,0.312,0.29,0.282,0.282,0.304,0.408,0.408,0.413,0.457,0.312,0.388
