"yday","min","max","mean"
85,39.92,53.96,46.9050963506793
86,39.02,55.58,47.0923990434118
87,40.46,56.66,48.1743672838184
88,39.74,57.02,48.0077631306232
89,40.64,60.44,49.4126565042428
90,40.28,57.74,48.9031054515169
91,37.58,57.02,46.4265016389899
92,37.58,55.22,45.8477440995451
93,36.86,56.84,46.7082764492091
94,39.02,60.62,48.7849851461711
95,39.74,59.54,49.3857079973447
96,41.18,60.26,50.3882756293861
97,41.72,60.62,50.9480670704066
98,41.4,59.4,50.1040587972278
99,42.08,60.8,50.4268208823119
100,41,62.96,50.8208965092663
101,43.34,62.06,52.2780295421276
102,41.72,62.96,51.35664284919
103,41.36,61.7,50.2407758759917
104,39.56,58.28,48.5288344616635
105,40.28,58.1,48.7741268009394
106,40.28,60.08,49.9266747679754
107,42.8,58.46,50.1083352259173
108,39.38,61.52,49.8047857307814
109,38.66,64.4,50.9261201210986
110,41.9,64.22,51.7255636967586
111,43.16,61.88,51.5772360431924
112,40.28,64.4,51.8779492641057
113,40.64,66.56,52.8161350738703
114,43.34,64.4,52.3942052208625
115,41.54,62.42,51.6567677455105
116,42.62,65.3,52.7660784270842
117,43.16,68.18,55.0063838167344
118,45.14,64.58,54.518447189531
119,44.06,64.04,53.2640171617943
120,41.9,65.84,52.7519550948133
121,43,66.2,54.1597791046044
122,43.7,65.66,54.3065819700814
123,43.34,65.48,54.1140954749458
124,43.88,65.12,54.4026011386485
125,44.78,63.68,53.4506294326962
126,44.4,64.8,54.2907416118967
127,44.2,66.6,55.224613089163
128,45,67.6,55.4392093624549
129,43.6,66.6,54.4027022256838
130,44.4,67.8,55.0908308166107
131,43.4,65.4,54.2574266285408
