Country,Beverage Types,2016,2015,2014,2013,2012,2011,2010
India, All types,3.04,3,3.02,3.05,3.06,2.96,2.74
India, Beer,0.23,0.21,0.2,0.2,0.19,0.18,0.17
India, Wine,0,0,0,0,0,0,0
India, Spirits,2.81,2.79,2.81,2.85,2.87,2.79,2.57
India, Other alcoholic beverages,0,0,0,0,0,0,0
Indonesia, All types,0.29,0.28,0.28,0.28,0.1,0.09,0.09
Indonesia, Beer,0.05,0.05,0.07,0.09,0.08,0.08,0.08
Indonesia, Wine,0.22,0.22,0.19,0.18,0,0,0
Indonesia, Spirits,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Indonesia, Other alcoholic beverages,0,0,0,0,0,0,0
Iran (Islamic Republic of), All types,,0.01,0.01,0.01,0.02,0.03,0.03
Iran (Islamic Republic of), Beer,,0,0,0,0,0,0
Iran (Islamic Republic of), Wine,,0,0,0,0,0,0
Iran (Islamic Republic of), Spirits,,0.01,0.01,0.01,0.02,0.03,0.03
Iran (Islamic Republic of), Other alcoholic beverages,,0,0,0,0,0,0
Iraq, All types,,0.17,0.17,0.17,0.19,0.18,0.19
Iraq, Beer,,0.12,0.12,0.12,0.14,0.12,0.14
Iraq, Wine,,0,0,0,0,0,0
Iraq, Spirits,,0.04,0.04,0.04,0.05,0.05,0.04
Iraq, Other alcoholic beverages,,0,0,0,0,0,0
Ireland, All types,11.46,10.93,11,10.64,11.53,11.65,11.63
Ireland, Beer,5.39,5.14,5.17,5,5.42,5.48,5.47
Ireland, Wine,3.21,3.06,3.08,2.98,3.23,3.26,3.26
Ireland, Spirits,2.15,1.97,1.98,1.92,2.08,2.1,2.09
Ireland, Other alcoholic beverages,0.71,0.77,0.77,0.74,0.81,0.82,0.81
Israel, All types,2.64,2.61,2.71,2.86,2.81,2.66,2.63
Israel, Beer,1.44,1.41,1.39,1.36,1.28,1.21,1.15
Israel, Wine,0.12,0.11,0.23,0.23,0.23,0.18,0.18
Israel, Spirits,1.05,1.05,1.05,1.21,1.25,1.22,1.24
Israel, Other alcoholic beverages,0.04,0.04,0.04,0.05,0.05,0.05,0.06
Italy, All types,7.08,7.14,7.56,7.35,7.48,6.98,6.95
Italy, Beer,1.8,1.78,1.73,1.7,1.7,1.69,1.66
Italy, Wine,4.58,4.61,4.97,4.86,4.99,4.45,4.45
Italy, Spirits,0.69,0.74,0.86,0.79,0.79,0.84,0.84
Italy, Other alcoholic beverages,0,0,0,0,0,0,0
Jamaica, All types,3.44,3.33,3.28,3.27,3.15,3.09,3.06
Jamaica, Beer,1.25,1.16,1.09,1.06,1.03,1.03,1.01
Jamaica, Wine,0.17,0.17,0.16,0.16,0.15,0.13,0.17
Jamaica, Spirits,1.87,1.82,1.86,1.9,1.83,1.8,1.75
Jamaica, Other alcoholic beverages,0.16,0.19,0.17,0.15,0.14,0.13,0.14
Japan, All types,,6.86,6.71,6.95,6.83,6.86,6.88
Japan, Beer,,1.25,1.22,1.28,1.27,1.29,1.32
Japan, Wine,,0.38,0.37,0.36,0.34,0.3,0.28
Japan, Spirits,,2.74,2.64,2.7,2.63,2.64,2.63
Japan, Other alcoholic beverages,,2.49,2.48,2.62,2.59,2.63,2.65
Jordan, All types,0.38,0.37,0.43,0.41,0.43,0.44,0.52
Jordan, Beer,0.07,0.07,0.07,0.05,0.05,0.04,0.1
Jordan, Wine,0.01,0.01,0.01,0.01,0.02,0.02,0.02
Jordan, Spirits,0.29,0.29,0.34,0.34,0.35,0.37,0.39
Jordan, Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Kazakhstan, All types,5.8,5.92,6.06,6.26,6.48,6.35,6.59
Kazakhstan, Beer,1.77,1.78,1.79,1.92,1.98,1.86,2.04
Kazakhstan, Wine,0.38,0.38,0.37,0.37,0.37,0.35,0.35
Kazakhstan, Spirits,3.65,3.76,3.89,3.97,4.14,4.14,4.21
Kazakhstan, Other alcoholic beverages,0,0,0,0,0,0,0
Kenya, All types,,1.86,1.77,2.06,1.96,1.95,1.84
Kenya, Beer,,0.74,0.64,0.93,0.96,0.93,0.97
Kenya, Wine,,0.03,0.03,0.04,0.03,0.04,0.03
Kenya, Spirits,,0.4,0.4,0.4,0.44,0.45,0.41
Kenya, Other alcoholic beverages,,0.69,0.69,0.69,0.53,0.54,0.43
Kiribati, All types,,0.36,0.36,0.36,0.37,0.55,0.49
Kiribati, Beer,,0.36,0.36,0.36,0.37,0.44,0.46
Kiribati, Wine,,0,0,0,0,0.03,0.04
Kiribati, Spirits,,0,0,0,0,0.08,0
Kiribati, Other alcoholic beverages,,0,0,0,0,0,0
Kuwait, All types,,0.01,0.01,0.01,0.01,0.02,0.01
Kuwait, Beer,,0,0,0,0,0.01,0
Kuwait, Wine,,0,0,0,0,0,0
Kuwait, Spirits,,0.01,0.01,0.01,0.01,0.01,0.01
Kuwait, Other alcoholic beverages,,0,0,0,0,0,0
Kyrgyzstan, All types,3.91,4.7,5.59,5.72,5.83,6.02,6.08
Kyrgyzstan, Beer,0.45,0.59,0.57,0.55,0.55,0.58,0.53
Kyrgyzstan, Wine,0.08,0.09,0.12,0.12,0.12,0.12,0.12
Kyrgyzstan, Spirits,3.37,4.02,4.89,5.05,5.15,5.32,5.43
Kyrgyzstan, Other alcoholic beverages,0,0,0,0,0,0,0
Lao People's Democratic Republic, All types,,6.81,6.63,6.41,6.31,6.29,6.09
Lao People's Democratic Republic, Beer,,3.41,3.23,3.02,2.83,2.63,2.45
Lao People's Democratic Republic, Wine,,0,0,0,0,0,0
Lao People's Democratic Republic, Spirits,,3.39,3.39,3.39,3.48,3.66,3.65
Lao People's Democratic Republic, Other alcoholic beverages,,0,0,0,0,0,0
Latvia, All types,11.19,10.82,10.6,10.43,10.2,10.11,9.83
Latvia, Beer,4.79,4.8,4.8,4.7,4.67,4.86,4.61
Latvia, Wine,1.24,1.24,1.2,1.1,1.16,1.13,1.05
Latvia, Spirits,4.48,4.13,4,3.99,3.77,3.57,3.64
Latvia, Other alcoholic beverages,0.68,0.65,0.6,0.64,0.6,0.55,0.53
Lebanon, All types,1.21,1.18,1.36,1.34,1.42,1.47,1.56
Lebanon, Beer,0.41,0.38,0.37,0.3,0.32,0.35,0.41
Lebanon, Wine,0.19,0.19,0.33,0.33,0.33,0.28,0.28
Lebanon, Spirits,0.6,0.59,0.64,0.69,0.75,0.82,0.85
Lebanon, Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Lesotho, All types,,2.88,2.66,2.64,2.51,2.45,2.86
Lesotho, Beer,,1.65,1.44,1.41,1.43,1.5,1.49
Lesotho, Wine,,0.09,0.09,0.09,0,0.01,0.01
Lesotho, Spirits,,0.3,0.3,0.3,0.62,0.6,0.61
Lesotho, Other alcoholic beverages,,0.83,0.83,0.83,0.46,0.35,0.76
Liberia, All types,,3.51,3.47,3.72,3.75,3.74,3.63
Liberia, Beer,,0.33,0.31,0.56,0.53,0.49,0.33
Liberia, Wine,,0.06,0.03,0.05,0.03,0.05,0.03
Liberia, Spirits,,3.1,3.1,3.1,3.19,3.18,3.28
Liberia, Other alcoholic beverages,,0.02,0.02,0.02,0,0.02,0
Libya, All types,,,,0,0.01,0,0
Libya, Beer,,,,0,0,0,0
Libya, Wine,,,,0,0,0,0
Libya, Spirits,,,,0,0.01,0,0
Libya, Other alcoholic beverages,,,,0,0,0,0
Lithuania, All types,13.61,14.42,14.82,15.14,15.15,14.88,13.61
Lithuania, Beer,5.93,6.28,6.45,6.71,6.6,6.48,5.93
Lithuania, Wine,0.99,1.03,1.08,1.1,1.1,1.08,0.99
Lithuania, Spirits,5.05,5.35,5.5,5.62,5.62,5.52,5.05
Lithuania, Other alcoholic beverages,1.65,1.76,1.79,1.72,1.83,1.8,1.65
Luxembourg, All types,11.22,11.83,11.69,11.55,11.89,12.01,11.72
Luxembourg, Beer,3.97,3.91,3.99,3.76,3.99,4.04,4.05
Luxembourg, Wine,5,5.47,5.23,5.34,5.4,5.44,5.28
Luxembourg, Spirits,2.25,2.46,2.48,2.46,2.5,2.54,2.4
Luxembourg, Other alcoholic beverages,0,0,0,0,0,0,0
Madagascar, All types,0.89,0.87,0.88,0.87,0.93,0.97,1.03
Madagascar, Beer,0.48,0.46,0.44,0.42,0.45,0.5,0.53
Madagascar, Wine,0.07,0.08,0.1,0.11,0.17,0.17,0.17
Madagascar, Spirits,0.34,0.34,0.34,0.34,0.31,0.3,0.33
Madagascar, Other alcoholic beverages,0,0,0,0,0,0,0
Malawi, All types,,2,1.99,1.99,1.83,1.86,1.67
Malawi, Beer,,0.18,0.16,0.16,0.16,0.16,0.16
Malawi, Wine,,0.02,0.02,0.02,0.02,0.02,0.02
Malawi, Spirits,,0.23,0.23,0.23,0.28,0.16,0.17
Malawi, Other alcoholic beverages,,1.58,1.58,1.58,1.38,1.52,1.33
Malaysia, All types,0.63,0.64,0.58,0.59,0.53,0.51,0.49
Malaysia, Beer,0.38,0.39,0.39,0.4,0.4,0.39,0.38
Malaysia, Wine,0.13,0.13,0.07,0.07,0,0,0
Malaysia, Spirits,0.11,0.11,0.11,0.12,0.12,0.11,0.1
Malaysia, Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Maldives, All types,,1.32,1.32,1.33,1.31,1.89,1.72
Maldives, Beer,,0.41,0.41,0.41,0.42,0.5,0.5
Maldives, Wine,,0.49,0.49,0.5,0.48,0.53,0.45
Maldives, Spirits,,0.42,0.42,0.42,0.42,0.86,0.78
Maldives, Other alcoholic beverages,,0,0,0,0,0,0
Mali, All types,,0.58,0.58,0.58,0.61,0.6,0.58
Mali, Beer,,0.09,0.09,0.09,0.08,0.08,0.07
Mali, Wine,,0.01,0.01,0.01,0.01,0.01,0.01
Mali, Spirits,,0,0,0,0,0.02,0.02
Mali, Other alcoholic beverages,,0.48,0.48,0.48,0.52,0.5,0.48
Malta, All types,8.02,7.75,7.88,7.97,7.92,7.12,7.52
Malta, Beer,2.94,2.96,2.88,2.9,3.07,2.58,2.89
Malta, Wine,2.37,2.21,2.49,2.5,2.51,2.35,2.58
Malta, Spirits,2.27,2.16,2.11,2.18,1.98,1.85,1.72
Malta, Other alcoholic beverages,0.44,0.42,0.4,0.4,0.36,0.33,0.33
Mauritania, All types,,0,0,0,0,0.01,0
Mauritania, Beer,,0,0,0,0,0,0
Mauritania, Wine,,0,0,0,0,0,0
Mauritania, Spirits,,0,0,0,0,0,0
Mauritania, Other alcoholic beverages,,0,0,0,0,0,0
Mauritius, All types,,2.58,2.8,2.95,2.94,3.02,2.95
Mauritius, Beer,,1.39,1.67,1.84,1.84,1.84,1.8
Mauritius, Wine,,0.4,0.33,0.32,0.3,0.31,0.35
Mauritius, Spirits,,0.79,0.79,0.79,0.8,0.87,0.78
Mauritius, Other alcoholic beverages,,0,0,0,0,0,0.01
Mexico, All types,5.53,5.28,5.19,5.16,5.31,5.32,5.15
Mexico, Beer,4.26,4.01,3.83,3.81,3.96,3.96,3.89
Mexico, Wine,0.11,0.11,0.23,0.22,0.2,0.2,0.12
Mexico, Spirits,1.13,1.14,1.11,1.1,1.12,1.12,1.11
Mexico, Other alcoholic beverages,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Micronesia (Federated States of), All types,,1.59,1.59,1.67,2.98,1.91,1.78
Micronesia (Federated States of), Beer,,0.92,0.92,0.89,1.03,0.9,0.86
Micronesia (Federated States of), Wine,,0.13,0.13,0.27,1.38,0.47,0.31
Micronesia (Federated States of), Spirits,,0.52,0.52,0.5,0.56,0.51,0.6
Micronesia (Federated States of), Other alcoholic beverages,,0.01,0.01,0.01,0.01,0.02,0.01
Mongolia, All types,,5.66,5.74,5.64,5.51,5.38,5.06
Mongolia, Beer,,2.47,2.53,2.42,2.25,2.04,1.44
Mongolia, Wine,,0.1,0.12,0.13,0.12,0.15,0.15
Mongolia, Spirits,,3.09,3.09,3.09,3.14,3.19,3.33
Mongolia, Other alcoholic beverages,,0,0,0,0,0,0
Montenegro, All types,,6.41,6.53,6.47,6.49,6.38,7.26
Montenegro, Beer,,0.69,0.69,0.69,0.8,0.72,0.73
Montenegro, Wine,,2.76,3,3.01,3.02,3.05,3.99
Montenegro, Spirits,,2.83,2.71,2.63,2.54,2.47,2.37
Montenegro, Other alcoholic beverages,,0.13,0.13,0.13,0.13,0.15,0.16
Morocco, All types,,0.38,0.5,0.53,0.54,0.54,0.55
Morocco, Beer,,0.16,0.15,0.18,0.18,0.18,0.2
Morocco, Wine,,0.16,0.28,0.28,0.28,0.27,0.27
Morocco, Spirits,,0.07,0.06,0.07,0.08,0.09,0.09
Morocco, Other alcoholic beverages,,0,0,0,0,0,0
Mozambique, All types,1.29,1.23,1.1,1,0.99,0.93,0.85
Mozambique, Beer,1.01,0.96,0.81,0.74,0.72,0.68,0.61
Mozambique, Wine,0.11,0.11,0.12,0.1,0.11,0.12,0.1
Mozambique, Spirits,0.16,0.15,0.17,0.16,0.15,0.13,0.13
Mozambique, Other alcoholic beverages,0.01,0.01,0.01,0,0,0,0
Myanmar, All types,,1.6,1.78,1.67,1.36,1.09,0.97
Myanmar, Beer,,0.36,0.59,0.46,0.36,0.17,0.15
Myanmar, Wine,,0.16,0.15,0.18,0,0,0
Myanmar, Spirits,,1.08,1.04,1.03,1,0.92,0.82
Myanmar, Other alcoholic beverages,,0,0,0,0,0,0
Namibia, All types,,7.83,7.83,7.83,6.34,7.71,7.44
Namibia, Beer,,4.71,4.71,4.71,4.67,7.3,7.16
Namibia, Wine,,0.81,0.81,0.81,0.59,0.06,0.06
Namibia, Spirits,,1.08,1.08,1.08,0.84,0.21,0.07
Namibia, Other alcoholic beverages,,1.22,1.22,1.22,0.24,0.14,0.15
Nauru, All types,,,,2.54,3.64,4.44,4.66
Nauru, Beer,,,,0.56,0.5,1.82,1.83
Nauru, Wine,,,,0.09,0.23,0.06,0.25
Nauru, Spirits,,,,1.88,2.91,2.56,2.58
Nauru, Other alcoholic beverages,,,,,0,0,0
Nauru, All types,,,,2.54,3.64,4.44,4.66
Nauru, Beer,,,,0.56,0.5,1.82,1.83
Nauru, Wine,,,,0.09,0.23,0.06,0.25
Nauru, Spirits,,,,1.88,2.91,2.56,2.58
Nauru, Other alcoholic beverages,,,,,0,0,0
Nepal, All types,,0.58,0.69,0.6,0.26,0.25,0.23
Nepal, Beer,,0.18,0.17,0.15,0.13,0.12,0.1
Nepal, Wine,,0.29,0.4,0.34,0,0,0
Nepal, Spirits,,0.12,0.12,0.12,0.12,0.12,0.12
Nepal, Other alcoholic beverages,,0,0,0,0,0,0
Netherlands, All types,,8.03,8.16,8.54,9.28,9.17,9.32
Netherlands, Beer,,3.83,3.84,4.21,4.34,4.35,4.36
Netherlands, Wine,,2.88,3,3.01,3.37,3.38,3.39
Netherlands, Spirits,,1.32,1.32,1.32,1.57,1.45,1.57
Netherlands, Other alcoholic beverages,,0,0,0,0,0,0
New Zealand, All types,9.24,8.87,9.15,9.25,9.24,9.48,9.63
New Zealand, Beer,3.46,3.35,3.39,3.49,3.41,3.66,3.68
New Zealand, Wine,3.08,2.97,3.19,3.05,3.03,3.02,3.23
New Zealand, Spirits,2.67,2.53,2.55,2.69,2.78,2.77,2.69
New Zealand, Other alcoholic beverages,0.03,0.03,0.02,0.02,0.03,0.03,0.04
Nicaragua, All types,3.86,3.73,3.54,3.56,3.61,3.36,3.34
Nicaragua, Beer,1.53,1.45,1.38,1.35,1.32,1.32,1.32
Nicaragua, Wine,0.03,0.03,0.02,0.02,0.02,0.02,0.02
Nicaragua, Spirits,2.3,2.25,2.13,2.19,2.26,2.02,2.01
Nicaragua, Other alcoholic beverages,0,0,0,0,0,0,0
Niger, All types,,0.11,0.11,0.1,0.16,0.13,0.11
Niger, Beer,,0.05,0.05,0.04,0.05,0.05,0.05
Niger, Wine,,0.01,0.01,0.01,0.02,0.01,0.01
Niger, Spirits,,0.04,0.04,0.04,0.09,0.07,0.05
Niger, Other alcoholic beverages,,0,0,0,0,0,0
Nigeria, All types,,9.62,9.64,9.63,9.9,10.13,10.31
Nigeria, Beer,,0.76,0.76,0.76,0.75,0.75,0.7
Nigeria, Wine,,0.04,0.05,0.05,0.05,0.04,0.03
Nigeria, Spirits,,0.06,0.06,0.06,0.06,0.06,0.08
Nigeria, Other alcoholic beverages,,8.76,8.76,8.76,9.04,9.28,9.5
Niue, All types,,,,10.57,11.29,5.99,4.9
Niue, Beer,,,,5.95,2.91,3.13,1.9
Niue, Wine,,,,1.39,1.21,0.74,0.6
Niue, Spirits,,,,3.23,7.17,2.12,2.4
Niue, Other alcoholic beverages,,,,0,0,0,0
Norway, All types,6.03,5.97,6.06,6.22,6.21,6.44,6.59
Norway, Beer,2.65,2.57,2.62,2.68,2.67,2.83,2.91
Norway, Wine,2.21,2.22,2.25,2.3,2.29,2.3,2.29
Norway, Spirits,1.01,1.03,1.04,1.09,1.11,1.18,1.25
Norway, Other alcoholic beverages,0.16,0.15,0.15,0.14,0.14,0.13,0.14
Oman, All types,0.39,0.39,0.39,0.42,0.48,0.51,0.53
Oman, Beer,0.16,0.16,0.16,0.17,0.18,0.2,0.21
Oman, Wine,0.01,0.02,0.02,0.01,0.03,0.02,0.03
Oman, Spirits,0.22,0.22,0.22,0.24,0.27,0.28,0.29
Oman, Other alcoholic beverages,0,0,0,0,0,0,0
Pakistan, All types,0.04,0.04,0.04,0.03,0.03,0.04,0.04
Pakistan, Beer,0,0,0,0,0,0,0
Pakistan, Wine,0,0,0,0,0,0,0
Pakistan, Spirits,0.04,0.04,0.03,0.03,0.03,0.03,0.03
Pakistan, Other alcoholic beverages,0,0,0,0,0,0,0
Panama, All types,6.69,6.92,7.29,7.35,7.11,7.05,6.9
Panama, Beer,5.14,5.37,5.74,5.52,5.14,5.05,4.86
Panama, Wine,0.23,0.24,0.24,0.25,0.24,0.24,0.22
Panama, Spirits,1.3,1.3,1.29,1.56,1.71,1.75,1.8
Panama, Other alcoholic beverages,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Papua New Guinea, All types,,0.71,0.76,0.83,0.87,0.88,0.79
Papua New Guinea, Beer,,0.68,0.73,0.8,0.83,0.85,0.76
Papua New Guinea, Wine,,0.02,0.02,0.02,0.03,0.02,0.01
Papua New Guinea, Spirits,,0.02,0.02,0.02,0.02,0.01,0.02
Papua New Guinea, Other alcoholic beverages,,0,0,0,0,0,0
Paraguay, All types,5.8,5.63,6.07,6.14,6.17,6.6,6.81
Paraguay, Beer,3.15,3.13,3.17,3.2,3.21,3.32,3.28
Paraguay, Wine,1.01,0.81,1.13,1.14,1.14,1.4,1.66
Paraguay, Spirits,1.58,1.63,1.7,1.74,1.76,1.83,1.83
Paraguay, Other alcoholic beverages,0.06,0.06,0.07,0.06,0.06,0.06,0.05
Peru, All types,,5.1,5.14,5.06,5.38,5.26,5.28
Peru, Beer,,3.06,3.09,3.07,3.19,3.09,3.13
Peru, Wine,,0.41,0.42,0.36,0.57,0.54,0.49
Peru, Spirits,,1.62,1.62,1.62,1.61,1.62,1.65
Peru, Other alcoholic beverages,,0,0.01,0.01,0.01,0.01,0.01
Philippines, All types,4.55,4.41,4.55,4.53,4.95,4.9,4.78
Philippines, Beer,1.24,1.12,1.11,1.1,1.26,1.29,1.29
Philippines, Wine,0.02,0.02,0.02,0.02,0.04,0.04,0.04
Philippines, Spirits,3.28,3.26,3.39,3.39,3.63,3.45,3.3
Philippines, Other alcoholic beverages,0.01,0,0.02,0.02,0.03,0.13,0.15
Poland, All types,10.43,10.48,10.45,10.79,10.19,10.21,10.04
Poland, Beer,5.85,5.83,5.8,5.74,5.83,5.54,5.3
Poland, Wine,0.82,0.89,0.89,0.82,0.83,0.9,0.97
Poland, Spirits,3.76,3.76,3.76,4.23,3.53,3.76,3.76
Poland, Other alcoholic beverages,0,0,0,0,0,0,0
Portugal, All types,10.66,10.54,10.35,10.54,10.86,11.91,12.23
Portugal, Beer,2.79,2.69,2.71,2.81,2.82,3.12,3.36
Portugal, Wine,6.55,6.54,6.38,6.5,6.76,7.43,7.47
Portugal, Spirits,0.82,0.82,0.82,0.82,0.86,0.92,0.93
Portugal, Other alcoholic beverages,0.5,0.48,0.44,0.41,0.42,0.45,0.47
Puerto Rico, All types,,,4.96,4.87,4.8,4.63,4.66
Puerto Rico, Beer,,,3.35,3.22,3.1,3.12,3.16
Puerto Rico, Wine,,,0.4,0.34,0.33,0.32,0.32
Puerto Rico, Spirits,,,1.16,1.25,1.3,1.12,1.11
Puerto Rico, Other alcoholic beverages,,,0.06,0.06,0.06,0.07,0.07
Qatar, All types,1.31,1.26,1.2,1.24,1.16,1.17,1.14
Qatar, Beer,0.34,0.33,0.33,0.33,0.34,0.32,0.33
Qatar, Wine,0.13,0.13,0.13,0.17,0.12,0.13,0.11
Qatar, Spirits,0.83,0.79,0.73,0.74,0.7,0.71,0.7
Qatar, Other alcoholic beverages,0.01,0.01,0.01,0.01,0,0,0.01
Republic of Korea, All types,,9.06,8.95,8.77,8.98,8.86,8.9
Republic of Korea, Beer,,2.01,2.01,2.1,1.98,1.93,1.89
Republic of Korea, Wine,,0.17,0.15,0.15,0.13,0.13,0.14
Republic of Korea, Spirits,,0.64,0.39,0.38,0.37,0.38,0.4
Republic of Korea, Other alcoholic beverages,,6.24,6.39,6.14,6.5,6.42,6.48
Republic of Moldova, All types,9.3,9.39,9.14,9.62,9.85,8.67,7.55
Republic of Moldova, Beer,1.5,1.52,1.62,1.78,1.95,1.83,1.65
Republic of Moldova, Wine,5.26,5.25,4.84,4.85,4.86,3.58,2.59
Republic of Moldova, Spirits,2.35,2.43,2.47,2.77,2.82,3.04,3.09
Republic of Moldova, Other alcoholic beverages,0.19,0.19,0.21,0.22,0.21,0.21,0.22
Romania, All types,,10.4,10.46,10.59,10.55,10.4,10.79
Romania, Beer,,5.78,4.9,5.1,5,4.7,4.5
Romania, Wine,,2.92,3.2,3.1,2.8,2.8,2.6
Romania, Spirits,,1.7,1.4,1.4,1.1,1.4,1.9
Romania, Other alcoholic beverages,,0,0,0,0,0,0
Russian Federation, All types,8.42,8.41,8.85,9.92,10.89,10.95,10.98
Russian Federation, Beer,3.29,3.49,3.64,3.96,4.17,4.13,4.09
Russian Federation, Wine,1.08,0.87,0.89,0.84,0.93,0.96,1.02
Russian Federation, Spirits,3.25,3.36,3.6,4.36,4.95,5.04,5.06
Russian Federation, Other alcoholic beverages,0.8,0.69,0.72,0.76,0.84,0.82,0.81
Rwanda, All types,,6.91,6.83,6.9,7.13,7.3,7.7
Rwanda, Beer,,1.02,0.95,1.02,0.98,0.88,0.81
Rwanda, Wine,,0.01,0.01,0.01,0,0,0
Rwanda, Spirits,,0.19,0.19,0.19,0.13,0.09,0.04
Rwanda, Other alcoholic beverages,,5.68,5.68,5.68,6.02,6.33,6.85
Saint Kitts and Nevis, All types,8.86,8.8,8.58,8.51,8.46,8.27,8.38
Saint Kitts and Nevis, Beer,4.23,4.15,4.01,3.96,3.91,3.78,3.79
Saint Kitts and Nevis, Wine,0.58,0.58,0.37,0.36,0.35,0.31,0.55
Saint Kitts and Nevis, Spirits,3.84,3.88,4,4.02,4.04,3.99,3.84
Saint Kitts and Nevis, Other alcoholic beverages,0.21,0.19,0.2,0.17,0.16,0.2,0.19
Saint Lucia, All types,9.69,9.66,9.5,9.26,9.63,10.26,10.68
Saint Lucia, Beer,3.43,3.36,3.27,3.28,3.28,3.27,3.28
Saint Lucia, Wine,1.28,1.28,1.29,1.18,1.17,1.3,1.45
Saint Lucia, Spirits,4.85,4.87,4.78,4.67,5.04,5.33,5.55
Saint Lucia, Other alcoholic beverages,0.13,0.14,0.15,0.13,0.14,0.36,0.4
Saint Vincent and the Grenadines, All types,7.44,7.25,6.99,6.89,6.93,7.02,6.99
Saint Vincent and the Grenadines, Beer,2.72,2.6,2.49,2.41,2.34,2.35,2.32
Saint Vincent and the Grenadines, Wine,0.27,0.27,0.22,0.17,0.33,0.3,0.33
Saint Vincent and the Grenadines, Spirits,4.26,4.21,4.12,4.16,4.15,4.26,4.22
Saint Vincent and the Grenadines, Other alcoholic beverages,0.19,0.17,0.16,0.15,0.12,0.1,0.12
Samoa, All types,,1.97,2.01,1.9,2.19,2.16,3.01
Samoa, Beer,,1.86,1.88,1.81,2.09,1.94,2.57
Samoa, Wine,,0.12,0.13,0.09,0.1,0.09,0.09
Samoa, Spirits,,0,0,0,0,0.12,0.35
Samoa, Other alcoholic beverages,,0,0,0,0,0,0
Sao Tome and Principe, All types,,4.85,5.39,4.78,4.83,5.9,5.8
Sao Tome and Principe, Beer,,0.96,0.96,0.96,0.49,0.72,0.85
Sao Tome and Principe, Wine,,3.89,4.43,3.82,4.34,4.64,4.39
Sao Tome and Principe, Spirits,,0,0,0,0,0.54,0.56
Sao Tome and Principe, Other alcoholic beverages,,0,0,0,0,0,0
Saudi Arabia, All types,,0.08,0.08,0.08,0.08,0.09,0.08
Saudi Arabia, Beer,,0,0,0,0,0,0
Saudi Arabia, Wine,,0,0,0,0,0,0
Saudi Arabia, Spirits,,0.08,0.08,0.08,0.08,0.09,0.08
Saudi Arabia, Other alcoholic beverages,,0,0,0,0,0,0
Senegal, All types,,0.25,0.25,0.25,0.28,0.31,0.28
Senegal, Beer,,0.14,0.14,0.14,0.14,0.15,0.14
Senegal, Wine,,0.08,0.08,0.08,0.11,0.13,0.12
Senegal, Spirits,,0.02,0.02,0.03,0.03,0.03,0.03
Senegal, Other alcoholic beverages,,0,0,0,0,0,0
Serbia, All types,9.17,9.13,8.77,9.06,9.05,8.96,9.09
Serbia, Beer,2.94,2.95,2.61,2.9,3.15,2.93,2.85
Serbia, Wine,3.89,3.89,3.88,3.9,3.61,3.75,3.95
Serbia, Spirits,2.32,2.28,2.26,2.24,2.27,2.27,2.27
Serbia, Other alcoholic beverages,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Seychelles, All types,,11.5,9.77,9.36,8.16,8.58,5.92
Seychelles, Beer,,7.92,6.73,6.48,5.49,4.83,2.71
Seychelles, Wine,,2.57,2.15,2.09,1.89,2.98,2.56
Seychelles, Spirits,,0.72,0.71,0.7,0.72,0.65,0.59
Seychelles, Other alcoholic beverages,,0.28,0.18,0.09,0.06,0.12,0.06
Sierra Leone, All types,,3.42,3.4,3.53,3.6,3.84,3.91
Sierra Leone, Beer,,0.14,0.13,0.24,0.2,0.19,0.18
Sierra Leone, Wine,,0.04,0.03,0.04,0.03,0.03,0.02
Sierra Leone, Spirits,,0,0,0,0,0.02,0.02
Sierra Leone, Other alcoholic beverages,,3.25,3.25,3.25,3.36,3.59,3.68
Singapore, All types,1.81,1.8,1.83,1.84,1.93,1.89,1.84
Singapore, Beer,1.27,1.25,1.28,1.23,1.34,1.31,1.29
Singapore, Wine,0.26,0.27,0.27,0.28,0.27,0.27,0.25
Singapore, Spirits,0.24,0.25,0.24,0.29,0.29,0.28,0.27
Singapore, Other alcoholic beverages,0.04,0.03,0.03,0.03,0.03,0.03,0.03
Slovakia, All types,10.14,10.78,10.89,10.54,10.66,10.78,10.55
Slovakia, Beer,3.42,3.44,3.32,3.43,3.67,3.55,3.44
Slovakia, Wine,2.12,2.61,2.84,2.37,2.13,2.25,2.13
Slovakia, Spirits,4.24,4.27,4.14,4.14,4.38,4.5,4.62
Slovakia, Other alcoholic beverages,0.35,0.47,0.59,0.59,0.47,0.47,0.36
Slovenia, All types,10.51,11.49,10.92,9.53,10.95,10.61,10.31
Slovenia, Beer,4.35,5.73,5.37,4.55,4.58,4.94,4.59
Slovenia, Wine,5.32,4.9,4.73,4.09,5.5,4.81,4.85
Slovenia, Spirits,0.84,0.86,0.82,0.89,0.87,0.86,0.89
Slovenia, Other alcoholic beverages,0,0,0,0,0,0,0
Solomon Islands, All types,,0.98,0.95,0.98,1,1.05,1.09
